countrynewwb;codewb;year;pop_adult;regionwb;incomegroup;group;group2;account;fiaccount;mobileaccount;borrow_money;dig_acc;saved fo old age;borrowed from fam and fri;envio remesa nacional;recibio_remesa_nacional;recibio_remesa_digital;recibio_transferencia_gobierno;recibio_pension_publica;retiro_dinero_cuenta;cuenta_inactiva;pagos_comercio_digital;ahorro_total
Guatemala;GTM;2024;12299923;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;325013354;321636491;NA;431140905;0.096288006;NA;138370996;0.069600708;0.13586249;NA;;NA;;;NA;295516462
Honduras;HND;2024;7345357;Latin America & Caribbean (excluding high income);Lower middle income;gender;men;527899759;481952283;0.157323056;511431684;0.30545409;NA;218953465;0.164409793;0.229728013;0.129761781;;NA;;;NA;487141792
Honduras;HND;2024;7345357;Latin America & Caribbean (excluding high income);Lower middle income;gender;women;340839092;320650744;0.0697669;480008364;0.16696221;NA;182086563;0.113625413;0.227263325;0.095245377;;NA;;;NA;352024721
Mexico;MEX;2024;97411242;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;591387643;579100407;0.150677923;432306007;0.42883755;NA;178870828;0.141867689;0.154538114;NA;135916791;NA;197078967;;0.325154423;549909743
Mexico;MEX;2024;97411242;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;47401701;472987858;0.061681392;399658373;0.266130033;NA;163468697;0.097620523;0.129485511;NA;12072385;NA;90496582;;0.198989451;422104729
Nicaragua;NIC;2024;4830854;Latin America & Caribbean (excluding high income);Lower middle income;gender;men;259574488;240101878;NA;460011185;0.14880331;NA;191738976;0.145829533;0.16503046;NA;;NA;;;NA;418368589
Nicaragua;NIC;2024;4830854;Latin America & Caribbean (excluding high income);Lower middle income;gender;women;212320805;192505219;NA;411895174;0.143151278;NA;162906218;0.10301009;0.156854859;NA;;NA;;;NA;343465257
Panama;PAN;2024;3331755;High income;High income;gender;men;70391512;671001389;0.392413931;485339518;0.506874635;NA;220715617;0.234681285;0.233016159;0.138013116;;NA;145779505;;0.375952415;495819928
Panama;PAN;2024;3331755;High income;High income;gender;women;581187551;549524061;0.369256639;461326162;0.474188608;NA;231430207;0.204170824;0.228471201;0.1215063;;NA;109563267;;0.34952637;485415646
Paraguay;PRY;2024;4874331;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;617674731;487531151;0.36581947;55144468;0.481688049;NA;26921803;0.283084822;0.283782569;0.193631775;;NA;;;0.270241045;424864633
Paraguay;PRY;2024;4874331;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;601097093;425059329;0.353473275;544886611;0.464036775;NA;192139872;0.25185337;0.257569146;0.195402082;;NA;;;0.249511933;327759228
Peru;PER;2024;25601447;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;624782759;535640585;0.476929215;494235764;0.53699655;NA;216097648;0.251415424;0.228457474;0.13176026;;NA;161735148;;0.375401976;507287208
Peru;PER;2024;25601447;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;561785669;461285922;0.373625034;452790595;0.422616896;NA;200042475;0.150374307;0.199584776;0.101370183;;NA;91656177;;0.279558116;373316852
Venezuela, RB;VEN;2024;20899114;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;869300365;858176053;0.381387178;637115952;0.823959702;NA;289182339;0.360581251;0.351175972;0.273598616;196226487;0.179779384;194969555;;0.724914711;582421521
Venezuela, RB;VEN;2024;20899114;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;877033336;869258909;0.293809006;604472584;0.799939184;NA;223848597;0.231085626;0.364781623;0.23772908;235723444;0.249066264;127277564;;0.706327425;458339413
Argentina;ARG;2014;31872846;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;539017616;539017616;NA;421764668;NA;NA;;NA;NA;NA;71147756;NA;349457242;;NA;285460405
Argentina;ARG;2014;31872846;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;446274994;446274994;NA;209658062;NA;NA;;NA;NA;NA;257823125;NA;139910806;;NA;150107972
Belize;BLZ;2014;228016;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;554154234;554154234;NA;579248608;NA;NA;332938799;NA;NA;NA;143672856;NA;120337559;;NA;681402465
Belize;BLZ;2014;228016;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;373800594;373800594;NA;510300872;NA;NA;28959115;NA;NA;NA;124117094;NA;87386141;;NA;465357773
Bolivia;BOL;2014;7120716;Latin America & Caribbean (excluding high income);Lower middle income;income;richest 60%;523663154;510269689;NA;40637409;NA;NA;111982638;NA;NA;NA;168141318;NA;;;NA;713302159
Bolivia;BOL;2014;7120716;Latin America & Caribbean (excluding high income);Lower middle income;income;poorest 40%;259174603;252123279;NA;316729183;NA;NA;161460595;NA;NA;NA;24800314;NA;;;NA;541095228
Brazil;BRA;2014;152293155;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;753735584;753735584;NA;473355756;NA;NA;;NA;NA;NA;73342555;NA;397374622;;NA;338529633
Brazil;BRA;2014;152293155;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;572280492;572280492;NA;296613779;NA;NA;;NA;NA;NA;265605393;NA;204978341;;NA;191354279
Canada;CAN;2014;29372810;High income;High income;income;richest 60%;995444026;995444026;NA;878852227;NA;NA;107640302;NA;NA;NA;282495579;NA;840584545;;NA;862014789
Canada;CAN;2014;29372810;High income;High income;income;poorest 40%;984080931;984080931;NA;805405767;NA;NA;27019744;NA;NA;NA;463895893;NA;660659069;;NA;759176986
Chile;CHL;2014;14064832;High income;High income;income;richest 60%;69542081;694619819;NA;44164176;NA;NA;;NA;NA;NA;131125687;NA;338261408;;NA;434270657
Chile;CHL;2014;14064832;High income;High income;income;poorest 40%;538035887;538035887;NA;332049692;NA;NA;;NA;NA;NA;266766929;NA;194574964;;NA;246968762
Colombia;COL;2014;34309704;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;487332567;485309469;NA;500473328;NA;NA;184893992;NA;NA;NA;;NA;187054682;;NA;519279329
Colombia;COL;2014;34309704;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;243945372;230836613;NA;327701704;NA;NA;119461525;NA;NA;NA;;NA;62290935;;NA;317639312
Costa Rica;CRI;2014;3611461;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;697552169;697552169;NA;48566699;NA;NA;14983365;NA;NA;NA;;NA;167799069;;NA;634214921
Costa Rica;CRI;2014;3611461;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;567371049;567371049;NA;375433084;NA;NA;13358092;NA;NA;NA;;NA;110490023;;NA;532619854
Dominican Republic;DOM;2014;7152325;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;625928417;624187615;NA;606058647;NA;NA;20890011;NA;NA;NA;113085442;NA;145050759;;NA;659951864
Dominican Republic;DOM;2014;7152325;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;412936852;412936852;NA;487192397;NA;NA;240697821;NA;NA;NA;143844498;NA;54116824;;NA;441063953
Ecuador;ECU;2014;11054660;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;563159215;563159215;NA;290521151;NA;NA;;NA;NA;NA;;NA;;;NA;365455883
Ecuador;ECU;2014;11054660;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;310402195;310402195;NA;205077648;NA;NA;;NA;NA;NA;;NA;;;NA;253857708
El Salvador;SLV;2014;4304307;Latin America & Caribbean (excluding high income);Lower middle income;income;richest 60%;465669046;448267042;NA;497867161;NA;NA;152495339;NA;NA;NA;183253135;NA;;;NA;650704702
El Salvador;SLV;2014;4304307;Latin America & Caribbean (excluding high income);Lower middle income;income;poorest 40%;219417901;193393619;NA;394796603;NA;NA;80320355;NA;NA;NA;145026814;NA;;;NA;462401826
Guatemala;GTM;2014;9616393;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;495242303;489130495;NA;477968588;NA;NA;185615372;NA;NA;NA;;NA;;;NA;640199424
Guatemala;GTM;2014;9616393;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;290836384;285942026;NA;413241001;NA;NA;210051292;NA;NA;NA;;NA;;;NA;433300904
Haiti;HTI;2014;6636287;Latin America & Caribbean (excluding high income);Lower middle income;income;richest 60%;225489907;208510861;NA;490596883;NA;NA;296947313;NA;NA;NA;;NA;;;NA;493921711
Haiti;HTI;2014;6636287;Latin America & Caribbean (excluding high income);Lower middle income;income;poorest 40%;133082144;124499879;NA;455481586;NA;NA;229499472;NA;NA;NA;;NA;;;NA;379602836
Honduras;HND;2014;5672647;Latin America & Caribbean (excluding high income);Lower middle income;income;richest 60%;385674015;370430666;NA;473564291;NA;NA;203433748;NA;NA;NA;;NA;;;NA;457417928
Honduras;HND;2014;5672647;Latin America & Caribbean (excluding high income);Lower middle income;income;poorest 40%;20855013;195348716;NA;36689176;NA;NA;152352577;NA;NA;NA;;NA;;;NA;305818078
Jamaica;JAM;2014;2096466;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;846044374;846044374;NA;521016471;NA;NA;320949406;NA;NA;NA;10875974;NA;155146026;126789722;NA;797341562
Jamaica;JAM;2014;2096466;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;692284484;689476456;NA;444455502;NA;NA;258224937;NA;NA;NA;123492264;NA;111774648;1389793;NA;660748702
Mexico;MEX;2014;84399247;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;456526032;453793882;NA;578299472;NA;NA;276302102;NA;NA;NA;14509015;NA;245997165;;NA;623835224
Mexico;MEX;2014;84399247;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;293630324;286588437;NA;458218017;NA;NA;236311254;NA;NA;NA;23388517;NA;7664021;;NA;523736609
Nicaragua;NIC;2014;4012287;Latin America & Caribbean (excluding high income);Lower middle income;income;richest 60%;264904129;256204349;NA;503336581;NA;NA;206800364;NA;NA;NA;;NA;;;NA;580565328
Nicaragua;NIC;2014;4012287;Latin America & Caribbean (excluding high income);Lower middle income;income;poorest 40%;88384834;86851516;NA;321985032;NA;NA;107966101;NA;NA;NA;;NA;;;NA;4129462
Panama;PAN;2014;2737867;High income;High income;income;richest 60%;515121291;513263748;NA;525880249;NA;NA;214894522;NA;NA;NA;99239717;NA;;;NA;661539534
Panama;PAN;2014;2737867;High income;High income;income;poorest 40%;318581031;314899995;NA;473415519;NA;NA;243003678;NA;NA;NA;150834267;NA;;;NA;569718802
Peru;PER;2014;21413567;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;377760808;377760808;NA;364684966;NA;NA;95788956;NA;NA;NA;;NA;162751197;;NA;46690912
Peru;PER;2014;21413567;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;1572273;1572273;NA;258827818;NA;NA;117229575;NA;NA;NA;;NA;47028769;;NA;28214045
Puerto Rico;PRI;2014;2955855;High income;High income;income;richest 60%;788272113;788272113;NA;457111897;NA;NA;9632627;NA;NA;NA;150942014;NA;347894537;;NA;537267965
Puerto Rico;PRI;2014;2955855;High income;High income;income;poorest 40%;560395589;560395589;NA;267418763;NA;NA;124505969;NA;NA;NA;1401838;NA;75978611;;NA;298978297
United States;USA;2014;254715188;High income;High income;income;richest 60%;973667296;973667296;NA;796129043;NA;NA;127471759;NA;NA;NA;206488012;NA;72956495;;NA;830800812
United States;USA;2014;254715188;High income;High income;income;poorest 40%;876911488;876911488;NA;738889828;NA;NA;308170217;NA;NA;NA;276578187;NA;401572745;;NA;640495175
Uruguay;URY;2014;2625287;High income;High income;income;richest 60%;538219725;534383587;NA;625769463;NA;NA;;NA;NA;NA;84621116;NA;501761548;;NA;451925246
Uruguay;URY;2014;2625287;High income;High income;income;poorest 40%;332113071;332113071;NA;450174689;NA;NA;;NA;NA;NA;22329646;NA;242271701;;NA;284945548
Venezuela, RB;VEN;2014;21274157;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;629952597;627141442;NA;437243615;NA;NA;156926107;NA;NA;NA;;NA;291037934;;NA;511945803
Venezuela, RB;VEN;2014;21274157;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;480314479;480314479;NA;287757291;NA;NA;156591461;NA;NA;NA;;NA;99717612;;NA;410665877
Argentina;ARG;2017;33036043;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;557898131;548830539;NA;428323006;NA;NA;162973775;NA;NA;NA;1017739;NA;304470802;;NA;363664907
Argentina;ARG;2017;33036043;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;380612805;37442344;NA;294734232;NA;NA;148531453;NA;NA;NA;217976029;NA;142277361;;NA;212150629
Bolivia;BOL;2017;7571421;Latin America & Caribbean (excluding high income);Lower middle income;income;richest 60%;621220325;599020526;NA;473142605;NA;NA;265752123;NA;NA;NA;176029809;NA;;;NA;60734821
Bolivia;BOL;2017;7571421;Latin America & Caribbean (excluding high income);Lower middle income;income;poorest 40%;428278339;381636987;NA;40629259;NA;NA;26872058;NA;NA;NA;166461522;NA;;;NA;459681595
Brazil;BRA;2017;158478074;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;789749123;789749123;NA;447051763;NA;NA;12398095;NA;NA;NA;116808398;NA;346492516;;NA;373705025
Brazil;BRA;2017;158478074;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;566252388;566252388;NA;328856271;NA;NA;157189979;NA;NA;NA;293686924;NA;155794059;;NA;251689184
Canada;CAN;2017;30253020;High income;High income;income;richest 60%;996929846;996929846;NA;899995496;NA;NA;100410305;NA;NA;NA;278819703;0.280158752;880972485;;NA;862289562
Canada;CAN;2017;30253020;High income;High income;income;poorest 40%;997778285;997778285;NA;854822403;NA;NA;198241394;NA;NA;NA;403133528;0.187599057;742990973;;NA;708031838
Chile;CHL;2017;14675996;High income;High income;income;richest 60%;79311156;785531663;0.235654527;498618384;NA;NA;150729739;NA;NA;NA;171504278;0.134851639;357970362;;NA;550096433
Chile;CHL;2017;14675996;High income;High income;income;poorest 40%;668719885;667293279;0.112949391;386034999;NA;NA;153500386;NA;NA;NA;302463312;0.149463338;208802411;;NA;403869569
Colombia;COL;2017;36092425;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;528904033;523389884;NA;483845011;NA;NA;229765503;NA;NA;NA;94270544;NA;199507111;;NA;466541765
Colombia;COL;2017;36092425;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;35019564;336691532;NA;306276682;NA;NA;167678886;NA;NA;NA;18394085;NA;48129676;;NA;268696301
Costa Rica;CRI;2017;3790388;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;743424478;743424478;NA;394876054;NA;NA;155527684;NA;NA;NA;82139082;0.106905521;186186242;;NA;667124991
Costa Rica;CRI;2017;3790388;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;580312309;580312309;NA;296378453;NA;NA;136825587;NA;NA;NA;204923557;0.110276038;67309993;;NA;44469759
Dominican Republic;DOM;2017;7508555;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;655966391;645415574;NA;583970101;NA;NA;201740479;NA;NA;NA;129441088;NA;22909121;;NA;567639399
Dominican Republic;DOM;2017;7508555;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;421151901;400534456;NA;4014919;NA;NA;179739571;NA;NA;NA;134327006;NA;66457412;;NA;445340995
Ecuador;ECU;2017;11800828;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;631323032;625022;NA;360815868;NA;NA;132847214;NA;NA;NA;;NA;;;NA;431038615
Ecuador;ECU;2017;11800828;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;333950796;333950796;NA;256945771;NA;NA;131084874;NA;NA;NA;;NA;;;NA;201014293
El Salvador;SLV;2017;4464670;Latin America & Caribbean (excluding high income);Lower middle income;income;richest 60%;37722772;36903819;NA;250314597;NA;NA;;NA;NA;NA;;NA;;;NA;420883363
El Salvador;SLV;2017;4464670;Latin America & Caribbean (excluding high income);Lower middle income;income;poorest 40%;192922492;17977533;NA;189360377;NA;NA;;NA;NA;NA;;NA;;;NA;316987975
Guatemala;GTM;2017;10430246;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;531409198;524510538;NA;353915277;NA;NA;126544291;NA;NA;NA;;NA;;;NA;463044964
Guatemala;GTM;2017;10430246;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;304192861;300265833;NA;278760921;NA;NA;13711212;NA;NA;NA;;NA;;;NA;361205655
Haiti;HTI;2017;7048972;Latin America & Caribbean (excluding high income);Lower middle income;income;richest 60%;424419711;371188769;0.181866884;446619979;NA;NA;262964758;NA;NA;NA;;NA;;;NA;505092249
Haiti;HTI;2017;7048972;Latin America & Caribbean (excluding high income);Lower middle income;income;poorest 40%;178797675;147847451;0.06508071;322245969;NA;NA;139008133;NA;NA;NA;;NA;;;NA;343589417
Honduras;HND;2017;6185475;Latin America & Caribbean (excluding high income);Lower middle income;income;richest 60%;534874504;5062904;NA;411059646;NA;NA;192116768;NA;NA;NA;;NA;;;NA;508644365
Honduras;HND;2017;6185475;Latin America & Caribbean (excluding high income);Lower middle income;income;poorest 40%;331007225;313934236;NA;224347665;NA;NA;83226822;NA;NA;NA;;NA;;;NA;279740329
Mexico;MEX;2017;88534114;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;432457382;415972827;NA;362192406;NA;NA;146749889;NA;NA;NA;120337742;NA;;;NA;458879561
Mexico;MEX;2017;88534114;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;252140568;241379486;NA;243009335;NA;NA;127511788;NA;NA;NA;134208368;NA;;;NA;308364547
Nicaragua;NIC;2017;4249427;Latin America & Caribbean (excluding high income);Lower middle income;income;richest 60%;381285333;355770484;NA;320843741;NA;NA;104386373;NA;NA;NA;;NA;;;NA;522336273
Nicaragua;NIC;2017;4249427;Latin America & Caribbean (excluding high income);Lower middle income;income;poorest 40%;199378063;176925503;NA;261409694;NA;NA;99489371;NA;NA;NA;;NA;;;NA;335662588
Panama;PAN;2017;2915245;High income;High income;income;richest 60%;555562823;546843841;NA;362365052;NA;NA;123022849;NA;NA;NA;147668491;NA;;;NA;580574519
Panama;PAN;2017;2915245;High income;High income;income;poorest 40%;328640009;324921144;NA;227338975;NA;NA;75334321;NA;NA;NA;237373734;NA;;;NA;338420741
Paraguay;PRY;2017;4382299;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;555403113;36742727;0.332754301;361086875;NA;NA;162047319;NA;NA;NA;;NA;;;NA;348343044
Paraguay;PRY;2017;4382299;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;382959523;225618134;0.222844319;351367622;NA;NA;234606401;NA;NA;NA;;NA;;;NA;154755615
Peru;PER;2017;22473210;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;529816751;526672015;NA;43863913;NA;NA;179406386;NA;NA;NA;;NA;167116188;;NA;486838421
Peru;PER;2017;22473210;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;270247467;264644534;NA;253283805;NA;NA;129723006;NA;NA;NA;;NA;38612042;;NA;273271093
United States;USA;2017;261470917;High income;High income;income;richest 60%;983672137;983672137;NA;854607512;NA;NA;103657153;NA;NA;NA;282620285;0.178019303;802120901;;NA;879527376
United States;USA;2017;261470917;High income;High income;income;poorest 40%;852185675;852185675;NA;653334816;NA;NA;226032266;NA;NA;NA;286253188;0.107475747;435916243;;NA;663720794
Uruguay;URY;2017;2670291;High income;High income;income;richest 60%;74032972;74032972;NA;613365904;NA;NA;106439688;NA;NA;NA;108675156;0.106520206;516261635;;NA;42814746
Uruguay;URY;2017;2670291;High income;High income;income;poorest 40%;486147281;486147281;NA;423196527;NA;NA;147237436;NA;NA;NA;321425136;0.093730551;24031556;;NA;289365915
Venezuela, RB;VEN;2017;22179490;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;823289612;823289612;0.143997396;511044449;NA;NA;194332043;NA;NA;NA;87941017;0.108945726;370553423;;NA;464146549
Venezuela, RB;VEN;2017;22179490;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;601840357;594975784;0.058035265;340504522;NA;NA;151464714;NA;NA;NA;149468041;0.096225149;16482674;;NA;340667887
Argentina;ARG;2021;34481880;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;758196452;714390565;0.403894528;512323932;NA;NA;215069939;0.194990252;0.167665803;NA;117889178;NA;339162504;;0.528090139;477713001
Argentina;ARG;2021;34481880;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;652348174;585288621;0.269952845;52061574;NA;NA;321318999;0.091445721;0.144471599;NA;200596651;NA;212201516;;0.323673486;249085149
Bolivia;BOL;2021;8150856;Latin America & Caribbean (excluding high income);Lower middle income;income;richest 60%;771521304;758548458;0.175094236;513192956;NA;NA;32479756;0.262880694;0.252711347;0.157682486;271906114;0.105900326;144113006;;0.212164174;643525277
Bolivia;BOL;2021;8150856;Latin America & Caribbean (excluding high income);Lower middle income;income;poorest 40%;562876483;559413859;0.0601244;433471584;NA;NA;279452515;0.154948876;0.178960251;0.065722275;322889763;0.127554334;99524197;;0.058160797;432585541
Brazil;BRA;2021;165349748;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;854033211;8488501;0.307715114;633740321;NA;NA;249013712;0.280126416;0.214275705;0.127994073;208644396;0.075363434;489561247;;0.620831579;506953404
Brazil;BRA;2021;165349748;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;819784255;815746987;0.212264429;518140315;NA;NA;242719274;0.166786353;0.192254591;0.12215155;432792915;0.158608071;276103692;;0.378711631;395392032
Canada;CAN;2021;31991096;High income;High income;income;richest 60%;998095496;998095496;NA;898768514;NA;NA;9836273;NA;NA;NA;249460179;0.257224799;882231019;;NA;83759864
Canada;CAN;2021;31991096;High income;High income;income;poorest 40%;99372127;99372127;NA;804979501;NA;NA;202389212;NA;NA;NA;395994133;0.23538459;745091806;;NA;697279046
Chile;CHL;2021;15803947;High income;High income;income;richest 60%;87482081;87482081;NA;452947805;NA;NA;195294943;0.27205982;0.314075677;NA;592548584;0.111236999;286841661;;NA;60773543
Chile;CHL;2021;15803947;High income;High income;income;poorest 40%;864288191;864288191;NA;412778676;NA;NA;22494144;0.211303294;0.22653708;NA;584149267;0.12573218;176402159;;NA;540393904
Colombia;COL;2021;39661157;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;677428201;639177076;0.275041252;545005801;NA;NA;29752869;0.273500745;0.261906585;NA;16551647;NA;191525657;;0.303148869;416668959
Colombia;COL;2021;39661157;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;476721563;439779435;0.131570578;388367111;NA;NA;280653821;0.139188185;0.143774381;NA;256771538;NA;42744015;;0.055360667;172431224
Costa Rica;CRI;2021;3990389;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;759278374;759278374;NA;405123908;NA;NA;209822595;0.254852809;0.276048398;NA;81636581;NA;187054966;;0.500558576;522415258
Costa Rica;CRI;2021;3990389;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;572341412;572341412;NA;336879298;NA;NA;192290167;0.130579472;0.156466492;NA;152526873;NA;71733829;;0.218524287;399019622
Dominican Republic;DOM;2021;7960918;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;595621021;5789433;NA;498205869;NA;NA;272357589;0.236268118;0.328152336;NA;160619264;NA;142897831;;0.194145542;464924143
Dominican Republic;DOM;2021;7960918;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;388819501;370035698;NA;379929004;NA;NA;208900633;0.099553332;0.225447897;NA;147561193;NA;51757785;;0.038742273;240372955
Ecuador;ECU;2021;12914981;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;675094162;675094162;NA;525639634;NA;NA;325137961;0.209930181;0.23925657;NA;;NA;176899784;79949689;0.230996702;459334567
Ecuador;ECU;2021;12914981;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;591497121;591497121;NA;388619614;NA;NA;23158028;0.089150474;0.163673844;NA;;NA;104506048;135939527;0.049739817;28081721
El Salvador;SLV;2021;4592875;Latin America & Caribbean (excluding high income);Lower middle income;income;richest 60%;443230999;384748124;0.140420901;318495216;NA;NA;170638492;NA;0.173390394;NA;26403296;NA;;;NA;434221631
El Salvador;SLV;2021;4592875;Latin America & Caribbean (excluding high income);Lower middle income;income;poorest 40%;230837472;19020124;0.062158404;26743353;NA;NA;163388797;NA;0.085734153;NA;185844435;NA;;;NA;307184284
Guatemala;GTM;2022;11489738;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;390402645;367058815;NA;3631809;NA;NA;255504908;NA;0.133940164;NA;;NA;;;NA;379466883
Guatemala;GTM;2022;11489738;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;338747906;320580991;NA;247725158;NA;NA;173724339;NA;0.075026357;NA;;NA;;;NA;242782557
Honduras;HND;2021;6863097;Latin America & Caribbean (excluding high income);Lower middle income;income;richest 60%;450331344;405846011;NA;433244192;NA;NA;30900504;0.14940799;0.216168205;NA;;NA;;;NA;358219669
Honduras;HND;2021;6863097;Latin America & Caribbean (excluding high income);Lower middle income;income;poorest 40%;269722905;237188732;NA;291596497;NA;NA;18739128;0.073233524;0.160800317;NA;;NA;;;NA;182747167
Jamaica;JAM;2021;2248537;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;770388434;765894733;0.165087097;385227399;NA;NA;231360375;0.237129713;0.324819898;0.17759676;;NA;148381788;99527202;0.328181555;69172161
Jamaica;JAM;2021;2248537;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;676887024;667867733;0.068832098;217650938;NA;NA;153286731;0.129631475;0.286348096;0.112971224;;NA;72729935;146195749;0.128993192;549522255
Mexico;MEX;2022;93851214;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;602225062;58201765;0.239944489;398576962;NA;NA;216272931;0.184928272;0.198465108;0.1388231;109868727;NA;16477318;;0.399926886;453458915
Mexico;MEX;2022;93851214;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;320687284;282797094;0.093448975;282604912;NA;NA;166303209;0.052975308;0.105853673;0.049905687;97548219;NA;33418233;;0.131488915;262107282
Nicaragua;NIC;2021;4567953;Latin America & Caribbean (excluding high income);Lower middle income;income;richest 60%;291313768;266519762;NA;430070058;NA;NA;255418233;NA;0.213161412;NA;;NA;;;NA;415337107
Nicaragua;NIC;2021;4567953;Latin America & Caribbean (excluding high income);Lower middle income;income;poorest 40%;21356135;179684205;NA;312152501;NA;NA;210262643;NA;0.160024754;NA;;NA;;;NA;306801749
Panama;PAN;2021;3160275;High income;High income;income;richest 60%;533290875;533290875;NA;314625484;NA;NA;191615914;0.219386887;0.272434041;NA;182088575;NA;;;NA;433398624
Panama;PAN;2021;3160275;High income;High income;income;poorest 40%;324129915;324129915;NA;264278434;NA;NA;150858335;0.083812337;0.122737894;NA;202235517;NA;;;NA;293177923
Paraguay;PRY;2021;4679787;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;5879174;313968794;0.405696786;403362954;NA;NA;237981063;0.189650429;0.223302906;0.118994143;145850756;NA;;;NA;269377134
Paraguay;PRY;2021;4679787;Latin America & Caribbean (excluding high income);Upper middle income;income;poorest 40%;478391116;205913383;0.333822615;265512599;NA;NA;197833896;0.107032611;0.180693963;0.103571505;206291428;NA;;;NA;176265255
Peru;PER;2021;24463530;Latin America & Caribbean (excluding high income);Upper middle income;income;richest 60%;653974922;642608178;0.194515214;464513298;NA;NA;239213676;0.286625074;0.296955793;0.175913382;205967532;NA;158385994;;0.30358096;445697041
